drug_name,num_prescriber,total_cost
CANCIDAS,19,980590.1800000002
ACCUPRIL,152,233584.0200000001
TRIAMTERENE-HYDROCHLOROTHIAZID,98765,49073614.699999996
ZALEPLON,4903,2725293.880000003
PENNSAID,316,13318306.479999993
FENOGLIDE,13,87186.39
ACTIMMUNE,21,14237715.12
GLEOSTINE,37,153648.54999999996
FUSILEV,5,232493.86
OMNITROPE,125,2705067.6200000006
LOESTRIN FE,4,5104.75
PULMICORT FLEXHALER,2306,9259381.689999998
SUTENT,409,58773360.07000002
MORPHINE SULFATE,21607,15676339.139999913
VOL-NATE,8,1512.3400000000001
QUININE SULFATE,395,1039944.2999999993
BOSULIF,133,17558499.62
LINZESS,19885,186373660.22999972
DROXIA,69,42481.44
OXALIPLATIN,46,1453891.83
METHADONE INTENSOL,41,27965.519999999997
GATTEX,73,43866379.21999999
EVAMIST,40,75668.16
TARON-C DHA,3,1034.2
PHENAZOPYRIDINE HCL,1846,1929341.2099999953
DEXMETHYLPHENIDATE HCL,246,257238.98999999996
TROSPIUM CHLORIDE ER,2530,11191299.190000003
PROCHLORPERAZINE,143,249647.17999999993
TIAZAC,63,76398.15999999999
ALYACEN,108,29575.970000000005
CANDESARTAN CILEXETIL,4618,8595064.03000001
LEVEMIR FLEXPEN,286,1678105.8600000006
BUTALBITAL-ACETAMINOPHEN,272,264338.02999999985
BROVANA,656,5536312.460000003
CONDYLOX,1,4411.16
RAZADYNE,4,11910.089999999998
APIDRA SOLOSTAR,1179,11904506.92999999
TYSABRI,173,24314561.93
DIASTAT,1,3563.93
FLEXBUMIN,1,4808.53
PAZEO,491,2255125.6499999994
VASOTEC,101,1124822.9299999995
DIOVAN HCT,1329,4529824.4799999995
ZONTIVITY,54,320683.38999999996
PRIMAXIN,8,21313.07
VIORELE,94,34718.940000000024
MOZOBIL,1,223897.81
NOVAREL,1,2572.47
DDAVP,40,649336.7899999998
PRENATABS FA,2,491.37
AMPHOTERICIN B,28,110219.07999999997
PINDOLOL,1901,2451184.150000002
PLEGRIDY,38,2633181.790000001
CARDIZEM LA,320,634109.5399999999
XGEVA,196,7531298.389999999
ISOSORBIDE DINITRATE,19722,29123259.85999996
SANDOSTATIN,10,832412.9199999999
PRECOSE,4,5657.679999999999
LUMIZYME,15,10829915.110000001
TOBRAMYCIN-DEXAMETHASONE,9285,27591844.92000007
HEPARIN SODIUM IN 0.45% NACL,1,432.52
IPRATROPIUM BROMIDE,23075,17958493.80000001
CLONIDINE HCL,103208,32826630.6499995
BUTALBITAL-ACETAMINOPHEN-CAFFE,20011,23551592.0799999
SULFAMYLON,5,7182.34
PROMETHAZINE VC,246,230407.89000000007
ERY,31,30408.210000000006
AMERGE,12,106466.37999999999
QUESTRAN LIGHT,1,2951.82
TRELSTAR DEPOT,1,9954.36
STARLIX,55,162165.80000000002
CHOLESTYRAMINE,10706,20976774.079999976
TRAVASOL,97,435631.79000000015
NORGESTIMATE-ETHINYL ESTRADIOL,156,28738.43999999999
TYLENOL-CODEINE NO.4,34,102947.20999999996
EPITOL,2736,2341947.89
QUILLIVANT XR,12,63468.92
FEMARA,139,1351015.4799999995
CATAPRES-TTS 2,128,598280.48
LUVOX CR,1,4352.46
GLIPIZIDE,108406,39332829.03000013
OLOPATADINE HCL,1274,6079111.080000002
OXYCODONE HCL-ASPIRIN,293,344965.85999999987
ICLUSIG,59,13371226.710000005
SULFACETAMIDE SODIUM,804,661658.4700000004
FLOVENT HFA,24673,137237969.89999968
K EFFERVESCENT,59,20838.479999999996
SELECT-OB + DHA,3,6473.580000000001
NATEGLINIDE,7375,18061306.220000055
PHENOXYBENZAMINE HCL,1,40346.73
MICARDIS,702,1807929.149999997
TOPAMAX,1721,32087729.689999986
NEVANAC,2160,24206013.589999937
OSENI,480,3477448.0100000002
TROKENDI XR,501,7700458.689999998
ANASPAZ,5,1137.74
ERYTHROMYCIN ETHYLSUCCINATE,56,261057.2399999999
EMCYT,6,103212.45
DERMACINRX SILAPAK,1,57005.19
INVANZ,2012,20496384.06999998
PIOGLITAZONE HCL,56245,82228164.70999959
ROZEREM,4183,21163403.380000103
TOLTERODINE TARTRATE ER,26983,120996201.57000001
CAPTOPRIL,10341,20262011.149999976
AUTOSHIELD PEN NEEDLE,8,5452.98
ESTRACE,8818,50084927.58000007
RABEPRAZOLE SODIUM,6971,8703755.589999985
ONDANSETRON HCL,50898,33002934.80000011
INTRON A,76,1850533.6999999995
CARBAMAZEPINE ER,13497,45345015.0799999
LUTERA,168,33743.25000000001
NUVIGIL,3522,41022412.35999989
IPRATROPIUM-ALBUTEROL,16274,16911062.339999914
HALOPERIDOL DECANOATE 100,2362,5456037.309999996
LYSODREN,9,77512.8
GALANTAMINE HBR,8910,23145628.840000007
NORTREL,540,143667.63999999987
MICARDIS HCT,500,1340090.9000000001
TEKAMLO,5,12847.98
DANAZOL,241,878509.9999999999
RENO CAPS,37,10226.429999999998
EFFER-K,31,6795.169999999999
PERJETA,26,2154350.0700000003
PRINIVIL,184,189590.57999999996
DOCETAXEL,47,1510514.9800000002
HEATHER,75,17500.130000000005
METHYCLOTHIAZIDE,136,82618.73
BETOPTIC S,780,4390815.630000005
XYLOCAINE-MPF,23,5361.920000000001
FROVA,213,2333363.730000002
KLOR-CON M20,61082,46913757.22999971
WELCHOL,17699,204850113.15999976
NEORAL,276,2031281.2800000003
ORSYTHIA,247,53854.10999999998
ADCETRIS,1,208201.73
NAPRELAN,35,426916.7399999999
LATANOPROST,53779,106111417.76000005
MAXIDEX,7,8939.24
EPIFOAM,1,944.71
SOLTAMOX,6,51223.34
ORENITRAM ER,226,55324595.71000004
VENTOLIN HFA,69260,111888356.77000031
PARICALCITOL,2786,19240959.90000005
PROTRIPTYLINE HCL,298,710470.0800000002
SULFADIAZINE,50,289045.08
RYTHMOL,24,140991.81
DIVALPROEX SODIUM,54454,114865475.4299998
PRENATE MINI,2,3124.27
REBIF REBIDOSE,655,70367178.0500001
DIGOXIN,59518,84947870.10000002
PREQUE 10,1,824.63
ZERIT,5,25949.41
CHORIONIC GONADOTROPIN,12,175785.71000000002
SULFATRIM,16,15517.789999999997
INTERMEZZO,69,243623.64000000004
DETROL LA,532,1874496.5300000012
SAPHRIS,4446,71048007.07000017
VANTAS,1,45810.32
ENABLEX,3743,18568392.84999998
JANTOVEN,22737,8372221.179999984
NOVOLOG MIX 70-30 FLEXPEN,15060,269737283.3699997
TRETINOIN MICROSPHERE,17,84308.26000000001
PERMETHRIN,3078,6809042.13
CYSTADANE,29,1019367.2000000001
MINOCYCLINE HCL ER,6,26916.91
CONSTULOSE,539,265170.43999999977
CESAMET,1,24623.76
VEREGEN,3,94315.01
JINTELI,349,375863.71000000014
PATANOL,8895,58779745.889999904
MESNEX,1,2104.07
DOBUTAMINE HCL,13,24518.33
ZITHRANOL,1,6950.72
VIRAMUNE,32,293223.80000000005
FLURAZEPAM HCL,1336,433264.26000000007
ATENOLOL-CHLORTHALIDONE,19951,10155562.129999954
CILOSTAZOL,25652,14627039.479999907
TAMIFLU,9601,39134329.93999992
TWINRIX,132,649458.75
HERCEPTIN,89,9530365.160000004
SURE-PREP ALCOHOL PREP PADS,32,14089.97
THEOPHYLLINE,1410,1316351.7100000023
EXALGO,344,8214297.310000006
CLINDESSE,1,960.65
UNITHROID,330,252381.1000000001
RUCONEST,3,3262023.96
PERINDOPRIL ERBUMINE,670,373431.0400000004
KLOR-CON-EF,41,16132.910000000002
AMLODIPINE BESYLATE-BENAZEPRIL,57232,77953450.74000034
GOLYTELY,226,96895.15
TORSEMIDE,31800,18692754.57999998
PROGLYCEM,34,420270.99
EASY TOUCH PEN NEEDLE,3063,1625692.769999994
RETIN-A MICRO PUMP,2,18617.47
ALBUMIN (HUMAN),1,32253.94
OXTELLAR XR,299,2893036.1699999976
OPANA ER,6115,123114455.0199996
GUANFACINE HCL,3003,621903.3399999996
SANTYL,9595,84465682.45999971
CHERATUSSIN AC,1,297.71
COMBIVIR,98,1219469.7200000007
INTELENCE,2578,93122981.94999991
VFEND IV,4,9299.63
ETIDRONATE DISODIUM,13,50349.06
TRIVORA-28,128,31284.719999999998
LATUDA,14339,500857728.7500012
VGO 30,298,1646567.1699999997
XENAZINE,741,160528433.70000023
CIMZIA,1183,82817173.89999993
OMNIPRED,5,11051.19
STALEVO 100,76,717420.3000000002
CEFPODOXIME PROXETIL,2234,4342486.129999999
VELPHORO,856,25519303.260000013
OXACILLIN SODIUM,52,484500.48
ORAP,325,626974.0299999999
PEGINTRON REDIPEN,4,152764.0
METOZOLV ODT,1,16408.07
CALCITONIN-SALMON,9104,12548270.369999982
BLEPHAMIDE,69,209245.1199999999
FLUORIDEX DAILY DEFENSE,2,535.48
PRAZOSIN HCL,13304,9763032.740000002
ERRIN,118,23755.500000000015
MICROZIDE,14,6863.080000000001
NIACOR,477,161429.69
BELSOMRA,584,2450096.9999999995
VIRAMUNE XR,169,1965598.71
RISPERDAL,502,5378757.099999994
UROCIT-K,41,137147.81
FEXOFENADINE HCL,1,126.74
NITRO-DUR,388,792092.8300000002
SAFETYGLIDE INSULIN SYRINGE,78,58123.36999999998
OXSORALEN-ULTRA,2,123876.45999999999
PACLITAXEL,69,132825.38999999998
FELBATOL,222,7110911.009999999
XARELTO,76815,1297283899.880013
FOSRENOL,2100,56932928.37999995
ALCOHOL SWAB,242,16646.42
TREZIX,22,112382.01000000002
MESTINON,508,9590514.710000012
EGRIFTA,102,7223718.769999998
MYOBLOC,4,67145.65
RECLAST,1,22585.11
BIVIGAM,14,3777022.41
GLEEVEC,4494,985510789.3099996
DEXTROSE IN WATER,1134,1585162.7200000028
LITE TOUCH,229,131330.61999999997
EPIPEN 2-PAK,1951,18125693.980000015
CLOBETASOL PROPIONATE,35213,293160789.10000193
GLUCOPHAGE XR,277,386866.61999999976
PROPRANOLOL HCL ER,28661,52801402.209999755
SECONAL SODIUM,11,218390.51
LOSARTAN-HYDROCHLOROTHIAZIDE,111225,74901471.2799997
MS CONTIN,135,2182794.980000001
OTEZLA,924,38705970.209999986
RASUVO,28,281339.80000000005
FLUDARABINE PHOSPHATE,1,6270.58
TOPCARE CLICKFINE,1,266.04
OXAPROZIN,1716,4770160.810000002
LUPRON DEPOT,368,15624325.179999987
SELECT-OB,1,558.77
ASMANEX HFA,10,37567.880000000005
VECTICAL,140,463926.1399999998
OSMOPREP,149,575382.12
ACETYLCYSTEINE,627,636073.7700000005
ULTRACET,62,226128.55000000002
ALDARA,1,9327.98
ADRUCIL,5,4497.22
ALTABAX,14,60816.14999999999
LAMICTAL,2419,60155919.17999993
DEXTROSE 5%-0.45% NACL,854,302015.4099999997
OXANDROLONE,211,3504161.649999998
CURITY ALCOHOL PREPS,41,2068.0099999999998
TORISEL,3,231374.08
STRIANT,4,21446.27
EXFORGE,2523,10699394.199999994
PANRETIN,2,130994.76999999999
CARDURA XL,35,46935.58
DALIRESP,10202,72993240.35999998
VELIVET,51,15195.37
SPIRONOLACTONE,114773,48213647.45999966
ALOCRIL,54,160381.05999999994
UTIRA-C,1,2736.69
TREXALL,50,128820.48000000003
GILENYA,1630,327875057.22000027
TOBI PODHALER,18,2174841.9800000004
CIMETIDINE,2737,1245145.9900000028
ROCEPHIN,3,3417.4800000000005
NAPROXEN SODIUM,5027,3928101.759999997
STREPTOMYCIN SULFATE,6,18043.07
TRAMADOL HCL ER,4046,9258358.249999981
RITALIN LA,116,522645.08000000013
BALZIVA,86,28210.000000000007
AMILORIDE-HYDROCHLOROTHIAZIDE,2321,723459.2900000013
ELESTAT,7,19674.09
DOXERCALCIFEROL,359,5089426.1000000015
INSULIN SYRINGE,47786,44542842.209999934
AXERT,57,399197.68000000005
NATAZIA,12,18575.670000000002
PROPAFENONE HCL,8392,8933035.65999998
HYDROCHLOROTHIAZIDE,206332,99619559.70000066
OGESTREL,72,35392.03999999999
ARCALYST,2,447516.85
PHENDIMETRAZINE TARTRATE,1,522.45
ZOSYN,148,682037.3500000003
NORVASC,1509,3273719.1199999913
GLYBURIDE-METFORMIN HCL,9143,4243914.490000007
SUMATRIPTAN,334,1397063.6399999997
DEPO-PROVERA,19,136624.98
EPROSARTAN MESYLATE,8,8640.14
GEMFIBROZIL,51305,22714181.80999995
JAKAFI,1362,262592900.77000016
EPIDUO,6,19355.97
ZOVIRAX,165,2174326.4899999998
AFINITOR,1166,220634526.14999977
CELEXA,222,695198.8799999997
NESTABS DHA,1,1036.39
BONIVA,190,692061.9499999996
AZELEX,31,163691.31
FOSINOPRIL-HYDROCHLOROTHIAZIDE,646,410078.6199999999
IXIARO,2,7956.85
ENBREL,6948,1226634370.7200031
BIDIL,1463,7017667.500000012
PRISTIQ ER,16575,112524064.50000013
LOVAZA,2808,15355841.60000001
ULTILET INSULIN SYRINGE,12,2818.0999999999995
MYSOLINE,184,7106784.629999998
INTUNIV,79,370639.34000000014
METADATE ER,54,75473.25000000003
ENPRESSE,150,37763.54000000002
PROMETHEGAN,207,750399.32
CEFTIBUTEN,3,10269.61
DILTZAC ER,4,1261.69
MEDROL,50,36534.85999999999
HUMIRA PEN PSORIASIS,11,917754.3200000001
BANZEL,855,39001251.15000001
ALDACTONE,66,85517.18
SULFAMETHOXAZOLE-TRIMETHOPRIM,118584,21250039.480000455
SULAR,51,349147.54
POLYTRIM,1,798.68
ALTOPREV,75,500847.6699999999
ZETIA,79383,1054879524.6399943
RANEXA,23321,336191521.829997
VALCHLOR,43,4955398.7700000005
PAMELOR,31,640667.34
TROSPIUM CHLORIDE,5042,13335498.450000001
CLORAZEPATE DIPOTASSIUM,9621,4761197.939999994
ALKERAN,1,2840.58
LAMICTAL XR,782,23328040.8
ESGIC,15,34687.479999999996
NICARDIPINE HCL,397,1000697.6099999998
PANTOPRAZOLE SODIUM,187345,171872269.11000368
VARIVAX VACCINE,9,58543.149999999994
COLISTIMETHATE,97,1102077.17
FLUVOXAMINE MALEATE,9611,6582742.480000003
VYFEMLA,3,1388.17
COUMADIN,12101,25749976.179999962
DIBENZYLINE,18,2460410.28
HEPARIN SODIUM,2562,4607592.1399999885
NITRO-BID,228,212281.71000000008
COLESTID,13,29196.64
CLOZAPINE ODT,849,10741107.169999989
INDERAL LA,226,1992797.8399999992
HYDROCODONE-IBUPROFEN,4853,3848532.749999995
AMITRIPTYLINE HCL,101719,71569320.17000066
NALFON,26,212977.78999999998
DIDANOSINE,328,1184002.2900000003
AZELASTINE HCL,23418,46407884.67000007
FABRAZYME,27,9724536.28
REGLAN,9,24086.920000000002
FLUOXETINE DR,251,505654.7500000002
ACTOPLUS MET XR,66,454441.97
BETAXOLOL HCL,818,1192044.209999998
DOXYCYCLINE IR-DR,18,154145.58
PREDNISONE INTENSOL,1,2342.69
CORTISONE ACETATE,51,77053.83
FELBAMATE,865,10542267.969999993
K-PHOS ORIGINAL,86,37574.12999999999
DEXTROSE 5%-0.9% NACL,129,60425.65000000001
LIDOCAINE HCL-EPINEPHRINE,1,179.62
DULOXETINE HCL,141434,685409843.319995
GUANFACINE HCL ER,356,943141.1099999995
CARNITOR,42,187643.08000000005
CLINDAMYCIN-BENZOYL PEROXIDE,148,691976.7799999998
TRILIPIX,215,621399.3399999996
AMLODIPINE-ATORVASTATIN,3114,11384991.13000003
HYOSCYAMINE SULFATE,380,258656.02999999977
MEDROXYPROGESTERONE ACETATE,11987,4671155.96000002
OXYCODONE HCL ER,1632,19124090.74999998
ERY-TAB,260,1205114.4300000006
NEOMYCIN-POLYMYXIN B,117,150879.80999999997
ALDACTAZIDE,42,43486.619999999995
PROCTO-PAK,41,20349.43
XERESE,1,11302.18
KERALYT,1,464.12
VITAFOL ULTRA,2,2265.99
BOTOX,352,10526586.950000005
NORA-BE,153,39239.82
PREVNAR 13,31,132559.18
SIMPONI ARIA,15,1453020.28
SEROQUEL,1243,11474011.689999994
BOOSTRIX TDAP,2220,6814931.499999991
VFEND,3,117688.76
AMETHYST,46,25853.24
KADIAN,287,6534452.069999998
ABILIFY DISCMELT,24,344104.57999999996
TAMOXIFEN CITRATE,10548,12714601.079999968
MEPROBAMATE,369,1181101.2300000002
ANDRODERM,587,3443664.570000004
METOLAZONE,27346,26731915.070000056
